SNo,Rank,Allotted Quota,Allotted Institute,Course,Remarks,Allotted Quota_1,Allotted Institute_1,Course_1,Allotted Category,Candidate Category,option No.,Remarks_1
24566,720847,"Deemed/Pa
id Seats
Quota","SRI LALITHAMBIGAI
MEDICAL COLLEGE
& HOSPITAL",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24567,721612,-,-,-,-,"Deemed/Paid
Seats Quota","Vinayaka Missions
Medical College and
Hospital, Karaikal",MBBS,Open,OBC,1,"Fresh Allotted
in 2nd Round"
24568,721669,"Deemed/Pa
id Seats
Quota","BHAARATH
MEDICAL COLLEGE
AND HOSPITAL",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
24569,721905,"Deemed/Pa
id Seats
Quota","SRI LALITHAMBIGAI
MEDICAL COLLEGE
& HOSPITAL",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24570,722024,"Deemed/Pa
id Seats
Quota","Sree Balaji Medical
College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24571,722059,"Deemed/Pa
id Seats
Quota","Shri Sathya Sai
Medical College and
RI, Chennai",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24572,722063,"Deemed/Pa
id Seats
Quota","Sree Balaji Medical
College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24573,722075,-,-,-,-,"Deemed/Paid
Seats Quota","SRM Medical College
and Hospital, Chennai",MBBS,Open,OBC,4,"Fresh Allotted
in 2nd Round"
24574,722076,-,-,-,-,"Non-Resident
Indian","Bharati Vidyapeeth
DU Medical College",MBBS,Open,OBC,2,"Fresh Allotted
in 2nd Round"
24575,722203,"Non-
Resident
Indian","Yenepoya Dental
College, Yenepoya",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24576,722476,"Deemed/Pa
id Seats
Quota","Santosh Dental
College and Hospital,
Ghaziabad",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24577,722499,"Deemed/Pa
id Seats
Quota","VELS MEDICAL
COLLEGE &
HOSPITAL",MBBS,"Not
Reported","Deemed/Paid
Seats Quota","Vinayaka Missions
Medical College and
Hospital, Karaikal",MBBS,Open,GN,19,"Fresh Allotted
in 2nd Round"
24578,722524,"Deemed/Pa
id Seats
Quota","SRI LALITHAMBIGAI
MEDICAL COLLEGE
& HOSPITAL",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24579,722707,-,-,-,-,"Deemed/Paid
Seats Quota","SRM Medical College
and Hospital, Chennai",MBBS,Open,GN,2,"Fresh Allotted
in 2nd Round"
24580,722723,-,-,-,-,"Deemed/Paid
Seats Quota","SRM Medical College
and Hospital, Chennai",MBBS,Open,OBC,3,"Fresh Allotted
in 2nd Round"
24581,722784,"Deemed/Pa
id Seats
Quota","BVDU Dental College
and Hospital, Navi
Mumbai",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24582,722946,"Deemed/Pa
id Seats
Quota","Meenakshi Medical
College Hospital and
Research Institute,
Kanchipuram",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24583,723013,"Internal -
Puducherry
UT Domicile","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24584,723069,"Deemed/Pa
id Seats
Quota","BVDU Dental College
and Hospital, Sangli",BDS,Reported,"Deemed/Paid
Seats Quota","School of Dental
Sciences and
KIMSDU, Karad",BDS,Open,GN,1,Upgraded
24585,723145,"Deemed/Pa
id Seats
Quota","Dr. DY Patil Dental
College and Hosp.
Navi Mumbai",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24586,723209,-,-,-,-,"Deemed/Paid
Seats Quota","Mahatma Gandhi
Medical College,
Pondicherry",MBBS,Open,GN,2,"Fresh Allotted
in 2nd Round"
24587,723806,"Deemed/Pa
id Seats
Quota","VMS Dental College,
Salem",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24588,723964,"Deemed/Pa
id Seats
Quota","Rural Dental College,
Loni",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24589,724027,"Deemed/Pa
id Seats
Quota","AB Shetty Memorial
Inst. of Dental Sce.,
Mangaluru",BDS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
24590,724049,"Deemed/Pa
id Seats
Quota","Institute of Dental
Sciences,
Bhubaneswar",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24591,724878,"Deemed/Pa
id Seats
Quota","Kalinga Institute of
Dental Sciences,
Bhubaneswar",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24592,725019,"Deemed/Pa
id Seats
Quota","Meenakshi Medical
College Hospital and
Research Institute,
Kanchipuram",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
24593,725239,-,-,-,-,"Deemed/Paid
Seats Quota","Sree Balaji Medical
College and Hospital,
Chennai",MBBS,Open,GN,301,"Fresh Allotted
in 2nd Round"
24594,725389,"Deemed/Pa
id Seats
Quota","ACS Medical College
and Hospital, Chennai",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24595,725425,"Deemed/Pa
id Seats
Quota","Sree Balaji Medical
College and Hospital,
Chennai",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
24596,725441,"Deemed/Pa
id Seats
Quota","Rural Dental College,
Loni",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24597,725710,-,-,-,-,"Deemed/Paid
Seats Quota","BVDU Dental College
and Hospital, Navi
Mumbai",BDS,Open,EWS,1,"Fresh Allotted
in 2nd Round"
24598,725784,"Deemed/Pa
id Seats
Quota","Meenakshi Medical
College Hospital and
Research Institute,
Kanchipuram",MBBS,Reported,"Deemed/Paid
Seats Quota","Mahatma Gandhi
Medical College,
Pondicherry",MBBS,Open,OBC,1,Upgraded
24599,725798,"Deemed/Pa
id Seats
Quota","School of Dental
Sciences and
KIMSDU, Karad",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24600,725887,-,-,-,-,All India,"Rajiv Gandhi Institute
Medical Sce of
Adilabad",MBBS,Open PwD,EWS PwD,10,"Fresh Allotted
in 2nd Round"
24601,725973,"Deemed/Pa
id Seats
Quota","Sree Balaji Medical
College and Hospital,
Chennai",MBBS,Reported,"Deemed/Paid
Seats Quota","SRM Medical College
and Hospital, Chennai",MBBS,Open,GN,6,Upgraded
24602,726013,"Deemed/Pa
id Seats
Quota","SRM Dental College,
Chennai",BDS,"Not
Reported","Deemed/Paid
Seats Quota","AB Shetty Memorial
Inst. of Dental Sce.,
Mangaluru",BDS,Open,GN,1,"Fresh Allotted
in 2nd Round"
24603,726549,"Deemed/Pa
id Seats
Quota","Sree Balaji Medical
College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24604,726572,"Deemed/Pa
id Seats
Quota","Shri Sathya Sai
Medical College and
RI, Chennai",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24605,726678,-,-,-,-,"Deemed/Paid
Seats Quota","BVDU Dental College
and Hospital, Sangli",BDS,Open,OBC,2,"Fresh Allotted
in 2nd Round"
24606,726797,"Non-
Resident
Indian","Yenepoya Medical
College, Mangalore",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24607,726887,All India,"Indira Gandhi Medical
College & RI,
Puducherry",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
24608,727013,-,-,-,-,"Deemed/Paid
Seats Quota","VELS MEDICAL
COLLEGE &
HOSPITAL",MBBS,Open,GN,1,"Fresh Allotted
in 2nd Round"
24609,727109,"Deemed/Pa
id Seats
Quota","VELS MEDICAL
COLLEGE &
HOSPITAL",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
24610,727239,"Deemed/Pa
id Seats
Quota","Santosh Dental
College and Hospital,
Ghaziabad",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24611,727328,"Deemed/Pa
id Seats
Quota","SRM Dental College,
Chennai",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24612,727432,"Deemed/Pa
id Seats
Quota","ACS Medical College
and Hospital, Chennai",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
24613,727681,"Deemed/Pa
id Seats
Quota","AB Shetty Memorial
Inst. of Dental Sce.,
Mangaluru",BDS,Reported,-,-,-,-,-,-,"No
Upgradation"
24614,727773,"Employees
State
Insurance
Scheme(ES
I)","ESIC Medical College
AND PGIMSR,
Chennai",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
24615,727890,-,-,-,-,"Deemed/Paid
Seats Quota","Thaimoogambigai
Dental College and
Hsopt. Chennai",BDS,Open,OBC,1,"Fresh Allotted
in 2nd Round"
24616,727892,"Deemed/Pa
id Seats
Quota","Sree Balaji Medical
College and Hospital,
Chennai",MBBS,"Not
Reported","Deemed/Paid
Seats Quota","VMKV Medical
College and Hospital,
Salem",MBBS,Open,GN,29,"Fresh Allotted
in 2nd Round"
24617,727964,"Non-
Resident
Indian","Jawahar Lal Nehru
Medical College,
Belagavi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24618,728137,"Deemed/Pa
id Seats
Quota","Meenakshi Medical
College Hospital and
Research Institute,
Kanchipuram",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24619,728173,"Deemed/Pa
id Seats
Quota","Sri Lakshmi Narayana
Inst. of Med. Scien.,
Puducherry",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
24620,728518,"Deemed/Pa
id Seats
Quota","Shri Sathya Sai
Medical College and
RI, Chennai",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
24621,728563,"Deemed/Pa
id Seats
Quota","Rural Dental College,
Loni",BDS,Reported,-,-,-,-,-,-,"Did not fill up
fresh choices."
24622,728626,"Deemed/Pa
id Seats
Quota","Santosh Dental
College and Hospital,
Ghaziabad",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24623,728731,"Deemed/Pa
id Seats
Quota","Santosh Dental
College and Hospital,
Ghaziabad",BDS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
24624,728987,"Deemed/Pa
id Seats
Quota","Shri Sathya Sai
Medical College and
RI, Chennai",MBBS,"Not
Reported","Deemed/Paid
Seats Quota","SRM Medical College
and Hospital, Chennai",MBBS,Open,GN,8,"Fresh Allotted
in 2nd Round"
24625,729068,"Deemed/Pa
id Seats
Quota","Meenakshi Medical
College Hospital and
Research Institute,
Kanchipuram",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
24626,729102,"Deemed/Pa
id Seats
Quota","VELS MEDICAL
COLLEGE &
HOSPITAL",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
