SNo,Rank,Allotted Quota,Allotted Institute,Course,Remarks,Allotted Quota_1,,Allotted Institute_1,Course_1,Allotted Category,Candidate Category,"Option
No.",Remarks_1
21382,470234,MNG,"Manipal College of Dental Sce., Manipal",BDS,Reported,-,-,-,-,-,-,No Upgradation,
21383,470350,-,-,-,-,MNG,"Kalinga Institute of Dental Sciences,
Bhubaneswar",BDS,GN,GNNO,1,Fresh Allotted in 2nd Round,
21384,470393,MNG,"Meenakshi Medical College Host. and
Res. Inst., Chennai",MBBS,Not Reported,MNG,"Sree Balaji Medical College and Hospital,
Chennai",MBBS,GN,ST,261,Fresh Allotted in 2nd Round,
21385,470430,AMS,"AIIMS, Kalyani",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
21386,470512,-,-,-,-,MNG,"BVDU Dental College and Hospital, Navi
Mumbai",BDS,GN,OBC,1,Fresh Allotted in 2nd Round,
21387,470635,MNG,"Sri Lakshmi Narayana Inst. of Med.
Scien., Puducherry",MBBS,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.,
21388,470637,MNG,"Sree Balaji Medical College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
21389,470695,MNG,"Chettinad Hos. and Res. Inst.,
Kancheepuram",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
21390,470708,-,-,-,-,MNG,"Dr. DY Patil Medical College and Hospt.,
Pune",MBBS,GN,OBC,15,Fresh Allotted in 2nd Round,
21391,470773,MNG,"Dr. DY Patil Medical College, Navi
Mumbai",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21392,470794,MNG,"Sree Balaji Medical College and Hospital,
Chennai",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21393,470858,MNG,KLE VK Inst. of Dental Scie. Belagavi,BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21394,470871,MNG,"Dr. DY Patil Medical College, Navi
Mumbai",MBBS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21395,470918,MNG,"Sri Lakshmi Narayana Inst. of Med.
Scien., Puducherry",MBBS,Reported,-,-,-,-,-,-,No Upgradation,
21396,470928,-,-,-,-,MNG,"Chettinad Hos. and Res. Inst.,
Kancheepuram",MBBS,GN,OBC,3,Fresh Allotted in 2nd Round,
21397,471012,-,-,-,-,MNG,"Dr. DY Patil Medical College and Hospt.,
Pune",MBBS,GN,GNNO,3,Fresh Allotted in 2nd Round,
21398,471081,MNG,"Bharati Vidyapeeth DU Dental College
and Hospt., Pune",BDS,Reported,-,-,-,-,-,-,Did not opt for Upgradation.,
21399,471123,-,-,-,-,MNG,"Dr. DY Patil Medical College, Navi
Mumbai",MBBS,GN,GNNO,1,Fresh Allotted in 2nd Round,
